Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_100046149,Eau de parfum,Tom Ford,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,104.99,30ML,0888066000055,100046149
BP_100429197,Eau de Toilette Florale Musqu̩e,MAISON MARGIELA,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,78.99,30ML,3605521932464,102181156
BP_100113213,Eau de toilette,Herm̬s,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,105.99,50ML,3346130493167,100113256
BP_100015025,Eau de Parfum,Kenzo,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,102.2,100ML,3274872289987,100015026
BP_102517107,Eau de parfum,Gucci,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,97.99,30ML,3616302968589,102517107
BP_100009348,Diorella Eau de Toilette,DIOR,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,117.59,100ML,3348900012455,100009348
BP_100013450,L'Heure Bleue Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,174.99,75ML,3346470260542,100013450
BP_101958162,Eau de Parfum Pour Elle floral oriental,Valentino,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3614273073875,101958162
BP_102630118,Eau de parfum lumineuse,CHLOE,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,94.99,30ML,3616303475413,102630118
BP_102054122,Eau de parfum,CACHAREL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,47.99,30ML,3614273327121,102054122
BP_100026799,Eau de Parfum,Sisley,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,131.99,30ML,3473311962003,100026801
BP_100949096,Eau de Parfum,Kenzo,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,80.99,30ML,3274872323476,100949096
BP_102611161,Absolu de parfum,Yves Saint Laurent,Parfum/Parfum Femme/Extrait de Parfum/undefined,inStock,160.99,50ML,3614273923859,102611161
BP_100014962,Eau de Toilette,Kenzo,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,97.99,50ML,3274872420847,100014962
BP_100069785,Eau de parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,164.99,75ML,3346470115941,102111465
BP_100113117,Eau de cologne,Herm̬s,Parfum/Parfum Femme/Eau de cologne/undefined,inStock,105.99,50ML,3346130490661,100113221
BP_102513780,Eau de parfum,Lanc̫me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,89.99,30ML,3614273922968,102513771
BP_102483154,Le parfum,Yves Saint Laurent,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,98.99,30ML,3614273863384,102483154
BP_101505180,Eau de Parfum,Tom Ford,Parfum/Parfum Mixte/Eau de parfum/undefined,inStock,159.99,50ML,0888066075138,101505180
